City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,18.99,62,79,3.13,ZA,1680103037
1,le port,-20.9373,55.2919,27.0,97,36,1.33,RE,1680103620
2,sao filipe,14.8961,-24.4956,26.28,56,83,2.03,CV,1680103620
3,saskylakh,71.9167,114.0833,-27.04,100,96,2.37,RU,1680103620
4,rikitea,-23.1203,-134.9692,26.27,74,97,2.18,PF,1680103620
5,port macquarie,-31.4333,152.9167,19.38,76,100,2.88,AU,1680103621
6,ushuaia,-54.8,-68.3,3.81,70,75,7.72,AR,1680103519
7,busselton,-33.65,115.3333,18.29,53,66,7.32,AU,1680103621
8,puerto ayora,-0.7393,-90.3518,29.98,88,44,2.24,EC,1680103621
9,jamestown,42.097,-79.2353,7.53,57,94,5.36,US,1680103174
10,castro,-24.7911,-50.0119,25.85,58,81,2.35,BR,1680103622
11,mar del plata,-38.0023,-57.5575,20.01,59,75,6.17,AR,1680103475
12,qaanaaq,77.484,-69.3632,-22.67,69,91,2.67,GL,1680103623
13,katsuura,35.1333,140.3,12.7,81,100,2.17,JP,1680103623
14,umm lajj,25.0213,37.2685,25.29,56,98,5.54,SA,1680103624
15,constitucion,-35.3333,-72.4167,17.27,49,1,4.65,CL,1680103624
16,rundu,-17.9333,19.7667,25.66,51,99,3.48,NA,1680103625
17,namatanai,-3.6667,152.4333,26.61,79,97,1.42,PG,1680103386
18,mapiri,-15.25,-68.1667,28.02,63,42,0.38,BO,1680103626
19,cherskiy,68.75,161.3,-27.37,100,70,2.19,RU,1680103627
20,punta arenas,-53.15,-70.9167,5.06,65,40,6.69,CL,1680103473
21,morro bay,35.3658,-120.8499,9.99,96,13,0.45,US,1680103628
22,tual,-5.6667,132.75,27.54,79,100,2.8,ID,1680103630
23,cabo san lucas,22.8909,-109.9124,22.51,57,100,1.54,MX,1680103350
24,fiche,9.8,38.7333,17.13,52,100,1.04,ET,1680103632
25,east london,-33.0153,27.9116,20.52,52,0,7.2,ZA,1680103632
26,tuktoyaktuk,69.4541,-133.0374,-23.0,84,20,2.57,CA,1680103633
27,kiama,-34.6833,150.8667,17.78,79,4,0.45,AU,1680103634
28,minab,27.1467,57.0801,24.48,56,0,3.3,IR,1680103635
29,riosucio,5.4216,-75.7032,17.39,93,100,0.56,CO,1680103635
30,hermanus,-34.4187,19.2345,18.22,66,96,3.28,ZA,1680103636
31,yellowknife,62.456,-114.3525,-14.69,78,75,2.06,CA,1680103636
32,talavera de la reina,39.9635,-4.8308,25.06,30,59,3.31,ES,1680103637
33,yertarskiy,56.7902,64.2995,-2.59,84,5,1.04,RU,1680103637
34,pisco,-13.7,-76.2167,26.03,73,44,3.09,PE,1680103638
35,cidreira,-30.1811,-50.2056,28.48,62,0,1.89,BR,1680103638
36,cape town,-33.9258,18.4232,19.51,52,20,8.23,ZA,1680103638
37,guerrero negro,27.9769,-114.0611,14.34,71,0,6.08,MX,1680103639
38,altamont,42.2068,-121.7372,-0.62,78,75,1.54,US,1680103639
39,poli,-3.3333,36.8,24.15,61,40,0.0,TZ,1680103640
40,albany,42.6001,-73.9662,8.84,48,55,1.34,US,1680103581
41,asfi,32.2994,-9.2372,21.79,60,30,7.91,MA,1680103641
42,khatanga,71.9667,102.5,-28.93,100,99,0.63,RU,1680103641
43,dikson,73.5069,80.5464,-19.3,97,100,2.6,RU,1680103642
44,khandyga,62.6667,135.6,-3.46,99,100,0.91,RU,1680103642
45,oranjemund,-28.55,16.4333,18.26,63,0,12.17,NA,1680103642
46,saint george,37.1041,-113.5841,12.36,35,0,7.72,US,1680103643
47,souillac,-20.5167,57.5167,27.21,78,75,4.12,MU,1680103644
48,bluff,-46.6,168.3333,5.45,72,87,6.69,NZ,1680103644
49,tasiilaq,65.6145,-37.6368,-6.91,61,34,1.36,GL,1680103644
